Location,Latitude,Longitude,Temperature,Weather,Description,Humidity,Pressure,Wind Speed,Timestamp
Khila Warangal,17.93,79.61,300.54,Rain,moderate rain,83,1005,3.28,2024-08-22T09:29:44.944319+00:00
Kodad,16.95,79.98,301.97,Rain,light rain,80,1004,1.48,2024-08-22T09:29:45.121870+00:00
Kodair,16.25,78.25,301.86,Clouds,overcast clouds,69,1005,5.2,2024-08-22T09:29:45.188667+00:00
Kodangal,17.1,77.57,300.85,Rain,moderate rain,72,1006,5.04,2024-08-22T09:29:45.250151+00:00
Kodimial,18.63,78.89,303.19,Clouds,overcast clouds,69,1004,3.51,2024-08-22T09:29:45.609026+00:00
Koheda,18.16,79.08,303.47,Clouds,overcast clouds,69,1004,4.59,2024-08-22T09:29:45.682987+00:00
Kohir,17.6,77.7,301.32,Clouds,overcast clouds,69,1005,5.94,2024-08-22T09:29:45.748143+00:00
Koilkonda,16.78,77.79,300.85,Clouds,overcast clouds,76,1006,4.57,2024-08-22T09:29:45.885918+00:00
Kollapur,16.12,78.43,303.12,Clouds,overcast clouds,66,1005,5.42,2024-08-22T09:29:45.947541+00:00
Komuravelli,17.92,78.89,302.16,Clouds,overcast clouds,69,1005,4.53,2024-08-22T09:29:46.049179+00:00
Konaraopet,18.49,78.71,303.67,Clouds,overcast clouds,68,1004,3.71,2024-08-22T09:29:46.127932+00:00
Kondamallapally,16.7,78.99,303.95,Rain,moderate rain,62,1005,6.25,2024-08-22T09:29:46.475001+00:00
Kondapak,17.97,78.84,302.37,Clouds,overcast clouds,68,1005,4.82,2024-08-22T09:29:46.554446+00:00
Kondapur,17.54,78.02,302.08,Clouds,overcast clouds,76,1005,5.46,2024-08-22T09:29:46.619451+00:00
Kondurg,17.1,78.05,300.86,Clouds,overcast clouds,76,1006,5.51,2024-08-22T09:29:46.684245+00:00
Konijerla,17.24,80.31,303.46,Rain,light rain,73,1004,3.77,2024-08-22T09:29:46.786758+00:00
Korutla,18.84,78.73,303.8,Rain,light rain,71,1004,3.05,2024-08-22T09:29:46.903550+00:00
Kosgi,16.97,77.7,300.79,Rain,light rain,74,1006,5.04,2024-08-22T09:29:46.974062+00:00
Kotagiri,18.58,77.79,304.87,Clouds,broken clouds,64,1003,3.43,2024-08-22T09:29:47.117512+00:00
Kotepally,17.41,77.77,300.95,Clouds,overcast clouds,73,1005,5.6,2024-08-22T09:29:47.207501+00:00
Kothaguda,17.95,80.09,300.69,Rain,light rain,85,1005,3.26,2024-08-22T09:29:47.287992+00:00
Kothagudem,17.53,80.63,303.48,Rain,light rain,76,1004,3.33,2024-08-22T09:29:47.363679+00:00
Kothakota,16.34,77.94,302.13,Clouds,overcast clouds,70,1005,5.5,2024-08-22T09:29:47.431033+00:00
Kothapally,18.45,79.05,304.18,Clouds,overcast clouds,67,1004,4.21,2024-08-22T09:29:47.495759+00:00
Kothur,17.13,78.29,301.23,Mist,mist,78,1006,5.66,2024-08-22T09:29:47.608773+00:00
Kouthala,19.54,79.73,304.44,Clouds,overcast clouds,71,1003,2.11,2024-08-22T09:29:47.685090+00:00
Kowdipally,17.87,78.21,301.65,Clouds,overcast clouds,72,1005,4.75,2024-08-22T09:29:47.798940+00:00
Kubeer,19.24,77.94,303.33,Rain,heavy intensity rain,69,1004,3.61,2024-08-22T09:29:47.864896+00:00
Kukatpally,17.48,78.41,302.02,Haze,haze,70,1005,5.14,2024-08-22T09:29:48.021879+00:00
Kulcharam,17.95,78.18,302.13,Clouds,overcast clouds,71,1005,4.58,2024-08-22T09:29:48.098800+00:00
Kulkacharla,17.0,77.9,300.16,Clouds,overcast clouds,75,1006,5.28,2024-08-22T09:29:48.294458+00:00
Kuntala,19.18,78.09,303.74,Rain,moderate rain,68,1004,3.64,2024-08-22T09:29:48.359535+00:00
Kuravi,17.49,80.01,300.09,Rain,light rain,86,1005,3.05,2024-08-22T09:29:48.430071+00:00
Kusumanchi,17.22,79.95,302.31,Rain,light rain,76,1005,2.55,2024-08-22T09:29:48.565588+00:00
Laxmanchanda,19.03,78.46,303.96,Clouds,broken clouds,70,1004,3.39,2024-08-22T09:29:48.645207+00:00
Laxmidevipally,17.68,80.6,302.55,Rain,light rain,80,1005,2.75,2024-08-22T09:29:48.723955+00:00
Lingalaghanpur,17.66,79.21,302.34,Rain,light rain,73,1005,3.54,2024-08-22T09:29:48.856837+00:00
Lingampet,18.25,78.12,302.6,Clouds,broken clouds,72,1004,3.53,2024-08-22T09:29:49.023294+00:00
Lingapur,19.27,79.03,302.96,Clouds,overcast clouds,68,1004,2.71,2024-08-22T09:29:49.090006+00:00
Lokeshwaram,19.01,78.1,304.61,Clouds,broken clouds,64,1003,3.4,2024-08-22T09:29:49.151482+00:00
Luxettipet,18.92,79.24,304.91,Clouds,overcast clouds,67,1004,3.28,2024-08-22T09:29:49.254119+00:00
Machareddy,18.35,78.48,303.07,Clouds,overcast clouds,69,1004,4.38,2024-08-22T09:29:49.351112+00:00
Madanapur,16.39,77.87,302.04,Clouds,overcast clouds,71,1005,5.39,2024-08-22T09:29:49.431596+00:00
Maddirala,17.41,79.7,300.8,Rain,light rain,84,1005,1.23,2024-08-22T09:29:49.498449+00:00
Maddur,16.85,77.65,300.68,Rain,light rain,75,1006,4.95,2024-08-22T09:29:49.564050+00:00
Maddur,17.92,79.07,302.01,Clouds,overcast clouds,72,1005,4.1,2024-08-22T09:29:49.699119+00:00
Madgul,16.84,78.7,301.96,Rain,light rain,69,1005,6.15,2024-08-22T09:29:49.763971+00:00
Madhira,16.93,80.38,302.35,Rain,moderate rain,78,1005,3.03,2024-08-22T09:29:49.915094+00:00
Madnur,18.49,77.66,305.14,Clouds,broken clouds,61,1003,3.56,2024-08-22T09:29:50.079110+00:00
Madugulapally,16.98,79.47,304.05,Rain,moderate rain,67,1004,3.36,2024-08-22T09:29:50.155908+00:00
Maganoor,16.47,77.45,302.05,Clouds,overcast clouds,69,1005,6.17,2024-08-22T09:29:50.249407+00:00
Mahabubabad,17.61,79.99,299.84,Rain,light rain,88,1005,2.86,2024-08-22T09:29:50.348316+00:00
Mahabubnagar_Urban,16.75,78.02,299.98,Clouds,overcast clouds,77,1006,4.31,2024-08-22T09:29:50.413966+00:00
Mahadevpur,18.74,79.96,303.17,Rain,light rain,78,1004,3.3,2024-08-22T09:29:50.479198+00:00
Maheswaram,17.15,78.42,301.04,Mist,mist,78,1006,5.66,2024-08-22T09:29:50.576061+00:00
Makloor,18.76,78.15,304.22,Clouds,broken clouds,66,1004,3.15,2024-08-22T09:29:50.649301+00:00
Makthal,16.47,77.56,301.77,Clouds,overcast clouds,70,1005,5.85,2024-08-22T09:29:50.710715+00:00
Maldakal,16.12,77.71,302.98,Clouds,overcast clouds,62,1005,6.54,2024-08-22T09:29:50.776405+00:00
Malharrao,18.53,79.82,303.79,Clouds,overcast clouds,74,1004,3.6,2024-08-22T09:29:50.905413+00:00
Malkajgiri,17.46,78.53,302.09,Haze,haze,70,1005,5.14,2024-08-22T09:29:50.964314+00:00
Mallapur,18.96,78.71,304.16,Clouds,broken clouds,70,1004,3.08,2024-08-22T09:29:51.344073+00:00
Mallial,18.71,78.93,303.53,Clouds,overcast clouds,70,1004,3.38,2024-08-22T09:29:51.405367+00:00
Mamda,19.09,78.51,303.61,Clouds,broken clouds,71,1004,3.25,2024-08-22T09:29:51.506714+00:00
Manakondur,18.4,79.26,303.96,Clouds,overcast clouds,67,1004,4.58,2024-08-22T09:29:51.582706+00:00
Manchal,17.11,78.75,301.19,Clouds,overcast clouds,69,1005,6.29,2024-08-22T09:29:51.658522+00:00
Mancherial,18.88,79.45,304.86,Clouds,overcast clouds,67,1004,3.11,2024-08-22T09:29:51.717406+00:00
Mandamarri,18.95,79.49,304.78,Clouds,overcast clouds,67,1004,2.88,2024-08-22T09:29:51.805674+00:00
Mangapet,18.19,80.54,302.54,Clouds,overcast clouds,84,1005,2.88,2024-08-22T09:29:52.141279+00:00
Manoor,17.96,77.74,303.38,Clouds,broken clouds,63,1004,5.38,2024-08-22T09:29:52.203471+00:00
Manopad,15.98,77.95,303.87,Clouds,overcast clouds,58,1005,6.83,2024-08-22T09:29:52.550920+00:00
Manthani,18.65,79.7,304.44,Clouds,overcast clouds,70,1004,3.59,2024-08-22T09:29:52.624571+00:00
Manuguru,17.95,80.78,303.22,Clouds,overcast clouds,80,1004,2.96,2024-08-22T09:29:52.711531+00:00
Maredpally,17.44,78.52,302.09,Haze,haze,70,1005,5.14,2024-08-22T09:29:52.785181+00:00
Marikal,16.59,77.73,301.25,Rain,light rain,74,1005,4.93,2024-08-22T09:29:52.883233+00:00
Maripeda,17.4,79.87,300.78,Rain,moderate rain,83,1005,1.95,2024-08-22T09:29:52.945381+00:00
Markook,17.75,78.73,301.87,Clouds,overcast clouds,68,1005,4.32,2024-08-22T09:29:53.020155+00:00
Marpalle,17.54,77.79,300.72,Clouds,overcast clouds,73,1005,5.79,2024-08-22T09:29:53.123636+00:00
Marriguda,16.98,78.87,302.5,Clouds,overcast clouds,66,1005,6.22,2024-08-22T09:29:53.213363+00:00
Mattampalli,16.76,79.85,304.07,Rain,moderate rain,68,1004,2.45,2024-08-22T09:29:53.285336+00:00
Medak,18.04,78.29,302.22,Clouds,overcast clouds,72,1005,4.51,2024-08-22T09:29:53.350214+00:00
Medchal,17.64,78.48,301.75,Clouds,overcast clouds,66,1005,5.28,2024-08-22T09:29:53.419637+00:00
Medipalle,18.75,78.8,303.35,Clouds,overcast clouds,72,1004,3.12,2024-08-22T09:29:53.531734+00:00
Medipally,17.42,78.6,302.36,Haze,haze,70,1005,5.14,2024-08-22T09:29:53.596279+00:00
Mellachervu,16.83,79.95,302.73,Rain,moderate rain,75,1004,1.91,2024-08-22T09:29:53.657746+00:00
Mendora,18.96,78.4,304.09,Clouds,broken clouds,69,1004,3.34,2024-08-22T09:29:53.721996+00:00
Metpalli,18.81,78.61,303.57,Rain,light rain,71,1004,3.02,2024-08-22T09:29:53.796785+00:00
Midjil,16.76,78.3,300.55,Clouds,overcast clouds,74,1006,5.09,2024-08-22T09:29:53.861950+00:00
Mirdoddi,18.07,78.65,302.92,Clouds,overcast clouds,67,1005,5.2,2024-08-22T09:29:53.926458+00:00
Miryalaguda,16.87,79.58,304.56,Rain,heavy intensity rain,65,1004,3.12,2024-08-22T09:29:53.985407+00:00
Mogudampally,17.62,77.51,301.78,Clouds,overcast clouds,68,1005,5.9,2024-08-22T09:29:54.068038+00:00
Mogullapally,18.31,79.62,303.92,Rain,moderate rain,70,1004,4.36,2024-08-22T09:29:54.136005+00:00
Moinabad,17.32,78.27,301.34,Mist,mist,78,1006,5.66,2024-08-22T09:29:54.200566+00:00
Mominpet,17.51,77.9,300.39,Clouds,overcast clouds,76,1005,5.6,2024-08-22T09:29:54.258158+00:00
Moosapet,16.61,77.96,301.03,Clouds,overcast clouds,75,1006,4.49,2024-08-22T09:29:54.354838+00:00
Morthad,18.83,78.45,303.74,Clouds,broken clouds,70,1004,3.04,2024-08-22T09:29:54.451636+00:00
Motakondur,17.54,79.09,302.73,Clouds,overcast clouds,69,1004,4.03,2024-08-22T09:29:54.531273+00:00
Mothey,17.2,79.81,301.96,Rain,moderate rain,80,1004,1.43,2024-08-22T09:29:54.682566+00:00
Mothkur,17.42,79.26,302.86,Clouds,overcast clouds,69,1004,3.88,2024-08-22T09:29:54.754584+00:00
Mudhole,18.98,77.96,304.91,Rain,light rain,62,1003,3.35,2024-08-22T09:29:54.833555+00:00
Mudigonda,17.11,80.11,302.39,Rain,light rain,77,1005,2.62,2024-08-22T09:29:54.892538+00:00
Mugpal,18.56,78.11,303.73,Clouds,broken clouds,68,1004,3.91,2024-08-22T09:29:54.971825+00:00
Mulakalapally,17.49,80.84,303.51,Rain,moderate rain,75,1004,4,2024-08-22T09:29:55.096157+00:00
Mulug,18.14,79.97,302.08,Rain,heavy intensity rain,79,1005,3.97,2024-08-22T09:29:55.162376+00:00
Mulug,17.72,78.62,301.79,Clouds,overcast clouds,67,1005,4.77,2024-08-22T09:29:55.364772+00:00
Munagala,17.06,79.82,302.26,Rain,moderate rain,79,1004,1.15,2024-08-22T09:29:55.426138+00:00
Munipally,17.71,77.85,302.15,Clouds,overcast clouds,67,1005,5.92,2024-08-22T09:29:55.492238+00:00
Munugode,17.09,79.05,304.06,Clouds,overcast clouds,63,1005,5.47,2024-08-22T09:29:55.587752+00:00
Mupkal,18.91,78.38,304.02,Clouds,broken clouds,69,1004,3.23,2024-08-22T09:29:55.668204+00:00
Musheerabad,17.42,78.5,302.23,Haze,haze,70,1005,5.14,2024-08-22T09:29:55.771327+00:00
Mustabad,18.29,78.7,303.92,Clouds,overcast clouds,66,1004,4.99,2024-08-22T09:29:55.832975+00:00
Mutharam_Mahadevpur,18.52,80.11,302.83,Rain,light rain,82,1004,2.92,2024-08-22T09:29:55.903184+00:00
Mutharam_Manthani,18.53,79.64,304.11,Clouds,overcast clouds,70,1004,3.86,2024-08-22T09:29:55.994470+00:00
Nadigudem,17.1,79.88,302.09,Rain,light rain,79,1004,1.51,2024-08-22T09:29:56.082889+00:00
Nagalgidda,18.05,77.63,303.55,Clouds,broken clouds,62,1004,5.06,2024-08-22T09:29:56.165200+00:00
Nagaram,17.4,79.48,301.7,Clouds,overcast clouds,78,1005,2.43,2024-08-22T09:29:56.231867+00:00
Nagi_Reddypet,18.12,78.1,302.71,Clouds,overcast clouds,71,1004,3.96,2024-08-22T09:29:56.296913+00:00
Nakrekal,17.17,79.43,303.09,Rain,light rain,70,1004,3.42,2024-08-22T09:29:56.417117+00:00
Nalgonda,17.06,79.25,303.51,Rain,light rain,63,1004,4.55,2024-08-22T09:29:56.486066+00:00
Nallabelli,18.06,79.92,301.31,Rain,heavy intensity rain,81,1005,3.87,2024-08-22T09:29:56.590163+00:00
Nampally,17.39,78.47,302.32,Haze,haze,70,1005,5.66,2024-08-22T09:29:56.738344+00:00
Nampally,16.86,78.95,303.56,Clouds,overcast clouds,63,1005,6.27,2024-08-22T09:29:56.899196+00:00
Nandigama,17.13,78.24,301.25,Clouds,overcast clouds,75,1006,5.72,2024-08-22T09:29:57.060892+00:00
Nandipet,18.92,78.17,304.42,Clouds,broken clouds,66,1004,3.3,2024-08-22T09:29:57.138359+00:00
Nangnoor,18.07,79.01,302.67,Clouds,overcast clouds,70,1004,4.56,2024-08-22T09:29:57.293149+00:00
Narayanapoor,17.15,78.88,302.72,Clouds,overcast clouds,66,1005,5.88,2024-08-22T09:29:57.362376+00:00
Narayankhed,18.06,77.78,303.76,Clouds,broken clouds,63,1004,4.75,2024-08-22T09:29:57.425973+00:00
Narayanpet,16.74,77.57,300.82,Rain,light rain,75,1006,5.2,2024-08-22T09:29:57.614014+00:00
Narketpally,17.23,79.22,303.54,Clouds,overcast clouds,65,1005,4.6,2024-08-22T09:29:57.721634+00:00
Narmetta,17.87,79.16,301.56,Clouds,overcast clouds,73,1005,3.76,2024-08-22T09:29:57.822956+00:00
Narnoor,19.5,78.85,302.62,Clouds,overcast clouds,71,1004,2.91,2024-08-22T09:29:58.183068+00:00
Narsampet,17.95,79.88,300.72,Rain,moderate rain,84,1005,3.59,2024-08-22T09:29:58.246317+00:00
Narsapur,17.76,78.26,302.05,Clouds,overcast clouds,72,1005,4.93,2024-08-22T09:29:58.307325+00:00
Narsapur_G,19.13,78.16,303.8,Rain,moderate rain,68,1004,3.65,2024-08-22T09:29:58.394621+00:00
Narsimhulapet,17.5,79.81,300.15,Rain,light rain,87,1005,1.42,2024-08-22T09:29:58.476258+00:00
Narsingi,18.05,78.44,302.1,Clouds,overcast clouds,69,1005,4.97,2024-08-22T09:29:58.638680+00:00
Narva,16.47,77.67,301.74,Clouds,overcast clouds,72,1005,5.49,2024-08-22T09:29:58.750003+00:00
Naspur,18.86,79.49,304.81,Clouds,overcast clouds,67,1004,3.12,2024-08-22T09:29:58.824727+00:00
Nasurullabad,18.46,77.89,304.13,Clouds,broken clouds,67,1004,3.54,2024-08-22T09:29:58.891983+00:00
Navipet,18.83,78.02,304.75,Clouds,broken clouds,64,1003,3.39,2024-08-22T09:29:58.960665+00:00
Nawabpet,16.9,78.02,299.67,Clouds,overcast clouds,77,1006,4.96,2024-08-22T09:29:59.046272+00:00
Nawabpet,17.42,77.98,300.01,Clouds,overcast clouds,77,1006,5.49,2024-08-22T09:29:59.156339+00:00
Nekkonda,17.78,79.82,299.98,Clouds,overcast clouds,87,1005,3.27,2024-08-22T09:29:59.285552+00:00
Nelakondapally,17.09,80.05,302.09,Rain,light rain,78,1005,2.21,2024-08-22T09:29:59.370452+00:00
Nellikudur,17.61,79.8,300.09,Clouds,overcast clouds,87,1005,2.16,2024-08-22T09:29:59.536089+00:00
Nennel,19.02,79.64,304.4,Clouds,overcast clouds,70,1004,2.54,2024-08-22T09:29:59.698573+00:00
Neradigonda,19.27,78.41,302.87,Clouds,broken clouds,71,1004,3.32,2024-08-22T09:29:59.786373+00:00
Nereducherla,16.91,79.67,303.89,Rain,moderate rain,70,1004,2.19,2024-08-22T09:30:00.190613+00:00
Neredugommu,16.57,79.03,303.9,Rain,moderate rain,64,1005,5.61,2024-08-22T09:30:00.610582+00:00
Nidamanoor,16.83,79.39,304.99,Rain,heavy intensity rain,60,1004,4.62,2024-08-22T09:30:00.913959+00:00
Nirmal,19.1,78.35,303.87,Clouds,broken clouds,69,1004,3.51,2024-08-22T09:30:01.083936+00:00
Nirmal Rural,19.1,78.36,303.84,Clouds,broken clouds,69,1004,3.5,2024-08-22T09:30:01.256823+00:00
Nizamabad North,18.69,78.09,303.9,Clouds,broken clouds,69,1003,3.31,2024-08-22T09:30:01.328980+00:00
Nizamabad Rural,18.67,78.06,303.6,Clouds,broken clouds,69,1003,3.39,2024-08-22T09:30:01.446998+00:00
Nizamabad South,18.67,78.09,303.8,Clouds,broken clouds,69,1003,3.38,2024-08-22T09:30:01.544823+00:00
Nizampet,18.12,78.53,302.53,Clouds,overcast clouds,70,1004,5.09,2024-08-22T09:30:02.026465+00:00
Nizamsagar,18.23,77.93,302.96,Rain,light rain,72,1004,3.7,2024-08-22T09:30:02.797918+00:00
Noothankal,17.33,79.71,301.53,Rain,moderate rain,80,1004,1.21,2024-08-22T09:30:03.379067+00:00
Nyalkal,17.85,77.62,301.26,Clouds,overcast clouds,71,1005,5.81,2024-08-22T09:30:03.978361+00:00
Odela,18.45,79.45,303.15,Clouds,overcast clouds,73,1004,3.55,2024-08-22T09:30:04.388789+00:00
Padara,16.33,79.06,303.05,Clouds,overcast clouds,62,1005,5.12,2024-08-22T09:30:04.552573+00:00
Palakeedu,16.76,79.72,304.05,Rain,moderate rain,68,1004,2.53,2024-08-22T09:30:04.660569+00:00
Palakurthy,17.65,79.44,301.22,Clouds,overcast clouds,81,1004,2.68,2024-08-22T09:30:04.788051+00:00
Palakurthy,18.74,79.37,303.22,Clouds,overcast clouds,73,1004,3.31,2024-08-22T09:30:04.856072+00:00
Palmela,18.65,80.23,301.32,Clouds,overcast clouds,90,1004,2.3,2024-08-22T09:30:04.936379+00:00
Palvancha,17.71,80.69,301.71,Rain,light rain,85,1005,2.47,2024-08-22T09:30:05.125735+00:00
Pangal,16.25,78.13,301.57,Clouds,overcast clouds,68,1005,5.53,2024-08-22T09:30:05.917081+00:00
Papannapet,18.04,78.11,302.32,Clouds,overcast clouds,72,1004,4.79,2024-08-22T09:30:06.232677+00:00
Pargi,17.17,77.88,299.84,Clouds,overcast clouds,78,1005,5.05,2024-08-22T09:30:06.312088+00:00
Parkal,18.2,79.69,301.51,Rain,heavy intensity rain,81,1004,3.91,2024-08-22T09:30:06.440100+00:00
Parvathagiri,17.77,79.72,299.57,Clouds,overcast clouds,89,1005,2.59,2024-08-22T09:30:06.529457+00:00
Patancheruvu,17.55,78.22,302.21,Clouds,overcast clouds,72,1005,5.41,2024-08-22T09:30:06.688933+00:00
Pebbair,16.15,77.99,303.61,Clouds,overcast clouds,63,1005,5.37,2024-08-22T09:30:06.763203+00:00
Peda Adisharla Palli,16.63,79.15,304.34,Rain,moderate rain,61,1005,5.39,2024-08-22T09:30:07.147030+00:00
Pedda Kodapgal,18.29,77.73,303.06,Clouds,broken clouds,68,1004,3.94,2024-08-22T09:30:07.240051+00:00
Peddakothapalle,16.26,78.37,301.01,Clouds,overcast clouds,74,1005,4.99,2024-08-22T09:30:07.324288+00:00
Peddamandaddi,16.45,78.02,301.5,Clouds,overcast clouds,73,1005,5.13,2024-08-22T09:30:08.084487+00:00
Peddapalli,18.62,79.4,303.09,Clouds,overcast clouds,73,1004,3.3,2024-08-22T09:30:08.170026+00:00
Peddavangara,17.55,79.58,301.08,Clouds,overcast clouds,82,1004,2.1,2024-08-22T09:30:08.277489+00:00
Peddavoora,16.7,79.23,304.54,Rain,moderate rain,60,1004,5.7,2024-08-22T09:30:08.420122+00:00
Peddemul,17.36,77.63,300.85,Rain,light rain,76,1005,4.86,2024-08-22T09:30:08.497351+00:00
Pegadapalli,18.7,79.07,303.31,Clouds,overcast clouds,72,1004,3,2024-08-22T09:30:08.580499+00:00
Pembi,19.22,78.62,304.14,Clouds,overcast clouds,72,1004,2.46,2024-08-22T09:30:08.658224+00:00
Penchikalpet,19.29,79.8,302.02,Clouds,overcast clouds,84,1003,2.24,2024-08-22T09:30:08.782532+00:00
Penpahad,17.03,79.69,302.8,Rain,moderate rain,74,1004,2.16,2024-08-22T09:30:08.913050+00:00
Pentlavelli,16.06,78.24,303.21,Clouds,overcast clouds,64,1005,4.69,2024-08-22T09:30:08.997929+00:00
Penuballi,17.22,80.68,302.64,Rain,moderate rain,77,1005,3.81,2024-08-22T09:30:09.114788+00:00
Pinapaka,18.05,80.68,302.5,Clouds,overcast clouds,83,1005,2.6,2024-08-22T09:30:09.198227+00:00
Pudur,17.24,77.99,300.94,Clouds,overcast clouds,76,1005,5.72,2024-08-22T09:30:09.321216+00:00
Pulkal,17.75,77.99,302.18,Clouds,overcast clouds,68,1005,6.16,2024-08-22T09:30:09.389836+00:00
Quthbullapur,17.52,78.44,301.86,Haze,haze,70,1005,5.14,2024-08-22T09:30:09.501917+00:00
Raghunadhapalem,17.32,80.23,300.89,Rain,moderate rain,83,1004,2.72,2024-08-22T09:30:09.702209+00:00
Ragunathpally,17.77,79.27,301.55,Clouds,overcast clouds,78,1004,2.93,2024-08-22T09:30:09.779654+00:00
Raikal,18.95,78.84,303.94,Clouds,overcast clouds,70,1004,2.42,2024-08-22T09:30:09.911854+00:00
Raikode,17.84,77.78,301.85,Clouds,overcast clouds,69,1004,5.97,2024-08-22T09:30:09.985343+00:00
Raiparthy,17.68,79.6,300.41,Clouds,overcast clouds,86,1004,2.41,2024-08-22T09:30:10.139440+00:00
Raipole,17.91,78.62,301.61,Clouds,overcast clouds,71,1005,4.74,2024-08-22T09:30:10.214395+00:00
Rajampet,18.21,78.29,301.49,Clouds,overcast clouds,75,1004,4.28,2024-08-22T09:30:10.280256+00:00
Rajapeta,17.74,78.93,301.44,Clouds,overcast clouds,75,1004,3.59,2024-08-22T09:30:10.347218+00:00
Rajapur,16.88,78.16,301.47,Clouds,overcast clouds,78,1006,4.35,2024-08-22T09:30:10.415367+00:00
Rajendranagar,17.32,78.42,301.57,Mist,mist,78,1005,5.66,2024-08-22T09:30:10.469395+00:00
Rajoli,15.91,77.75,304.87,Clouds,overcast clouds,55,1004,6.15,2024-08-22T09:30:10.603024+00:00
Ramachandrapuram,17.47,78.26,302.03,Clouds,overcast clouds,73,1005,5.24,2024-08-22T09:30:10.667377+00:00
Ramadugu,18.56,79.07,303.24,Clouds,overcast clouds,70,1004,3.07,2024-08-22T09:30:10.740345+00:00
Ramagiri,18.64,79.56,302.89,Clouds,overcast clouds,75,1004,3.19,2024-08-22T09:30:10.824246+00:00
Ramagundam,18.76,79.48,303.25,Clouds,overcast clouds,75,1004,3.16,2024-08-22T09:30:10.895235+00:00
Ramannapet,17.31,79.12,302.99,Clouds,overcast clouds,68,1004,4.88,2024-08-22T09:30:11.051469+00:00
Ramareddy,18.42,78.4,301.87,Clouds,overcast clouds,76,1004,3.95,2024-08-22T09:30:11.122642+00:00
Ramayampet,18.11,78.42,301.84,Clouds,overcast clouds,71,1004,4.99,2024-08-22T09:30:11.217623+00:00
Rebbena,19.26,79.44,303.68,Clouds,overcast clouds,73,1003,2.67,2024-08-22T09:30:11.298273+00:00
Regode,17.96,77.85,302.13,Clouds,overcast clouds,70,1004,5.38,2024-08-22T09:30:11.692964+00:00
Regonda,18.25,79.78,301.36,Rain,moderate rain,82,1004,4.05,2024-08-22T09:30:11.793508+00:00
Renjal,18.77,77.94,304.53,Clouds,broken clouds,66,1003,3.27,2024-08-22T09:30:11.865012+00:00
Revally,16.36,78.25,300.53,Clouds,overcast clouds,73,1005,5.16,2024-08-22T09:30:11.958576+00:00
Rudrangi,18.63,78.65,301.94,Clouds,overcast clouds,73,1004,2.83,2024-08-22T09:30:12.117579+00:00
Rudrur,18.58,77.87,304.62,Clouds,broken clouds,65,1003,3.59,2024-08-22T09:30:12.196262+00:00
Sadashivnagar,18.43,78.23,302.04,Clouds,overcast clouds,73,1004,4.16,2024-08-22T09:30:12.293728+00:00
Sadasivpet,17.65,77.95,301.8,Clouds,overcast clouds,70,1005,5.99,2024-08-22T09:30:12.468810+00:00
Saidabad,17.36,78.51,302.31,Haze,haze,70,1005,5.66,2024-08-22T09:30:12.553973+00:00
Sangareddy,17.62,78.1,302.34,Clouds,overcast clouds,71,1005,5.79,2024-08-22T09:30:12.653944+00:00
Sangem,17.88,79.71,299.85,Rain,light rain,88,1004,2.62,2024-08-22T09:30:12.717941+00:00
Sarangapur,18.93,78.94,303.47,Clouds,overcast clouds,71,1004,2.59,2024-08-22T09:30:12.786199+00:00
Sarangapur,19.21,78.26,303.83,Rain,light rain,69,1004,2.81,2024-08-22T09:30:12.857196+00:00
Sathupally,17.23,80.83,302.47,Rain,moderate rain,76,1005,4.43,2024-08-22T09:30:12.927305+00:00
Secunderabad,17.44,78.49,302.18,Haze,haze,70,1005,5.14,2024-08-22T09:30:13.186229+00:00
Serilingampalle,17.46,78.35,301.69,Haze,haze,70,1005,5.14,2024-08-22T09:30:13.257181+00:00
Shabad,17.18,78.14,301.16,Clouds,overcast clouds,76,1006,5.27,2024-08-22T09:30:13.322497+00:00
Shaikpet,17.41,78.42,301.97,Haze,haze,70,1005,5.66,2024-08-22T09:30:13.426811+00:00
Shaligouraram,17.29,79.39,303.33,Clouds,overcast clouds,69,1004,3.73,2024-08-22T09:30:13.510895+00:00
Shamirpet,17.61,78.58,302.07,Clouds,overcast clouds,74,1005,4.97,2024-08-22T09:30:13.601437+00:00
Shamshabad,17.23,78.35,301.37,Mist,mist,78,1005,5.66,2024-08-22T09:30:13.690236+00:00
Shankarampet_A,18.06,77.93,302.66,Clouds,overcast clouds,71,1004,4.66,2024-08-22T09:30:13.799485+00:00
Shankarapatnam,18.31,79.33,302.94,Rain,light rain,70,1004,4.03,2024-08-22T09:30:13.923845+00:00
Shankarpalle,17.43,78.15,301.95,Clouds,overcast clouds,73,1005,5.49,2024-08-22T09:30:14.014415+00:00
Shayampet,18.14,79.76,300.94,Rain,heavy intensity rain,84,1004,3.56,2024-08-22T09:30:14.104611+00:00
Shivampet,17.8,78.38,302.03,Clouds,overcast clouds,73,1005,5.46,2024-08-22T09:30:14.212560+00:00
Siddipet_Rural,18.15,78.77,302.65,Clouds,overcast clouds,68,1004,4.65,2024-08-22T09:30:14.282698+00:00
Siddipet_Urban,18.09,78.86,302.34,Clouds,overcast clouds,70,1004,4.22,2024-08-22T09:30:14.347981+00:00
Singareni,17.5,80.32,299.58,Rain,moderate rain,90,1005,2.92,2024-08-22T09:30:14.425557+00:00
